project_type,client_industry,complexity_level,client_tier,estimated_timeline_weeks,team_size,estimated_modules,estimated_features,estimated_hours,quoted_cost,final_    billed_amount
ERP,SaaS,Low,SMB,24,8,23,94,7680,7928773.0,9835048.0
Mobile App,Education,High,Startup,24,2,16,77,1680,4753394.0,5839552.0
ERP,Manufacturing,Low,SMB,15,8,7,70,4320,9371427.0,8989213.0
Web App,Healthcare,Low,SMB,18,13,11,191,9828,10322344.0,12077567.0
ERP,Healthcare,Medium,Startup,7,7,33,165,1911,4366998.0,4289017.0
ERP,FinTech,High,Enterprise,16,3,28,173,1824,9879240.0,9493253.0
Web App,FinTech,High,SMB,15,9,28,82,5400,11318860.0,11528823.0
Mobile App,Healthcare,Low,Enterprise,11,13,38,52,5148,9054897.0,9134668.0
AI Solution,E-commerce,Medium,Startup,17,4,5,24,2652,9509860.0,11412737.0
ERP,SaaS,Low,Enterprise,20,5,36,151,4300,6019321.0,6991744.0
Data Pipeline,E-commerce,Medium,Enterprise,13,14,10,47,7462,11666661.0,13001912.0
ERP,FinTech,Medium,Startup,28,12,17,22,12096,19469858.0,19320495.0
Mobile App,Education,Low,Startup,27,10,16,58,8370,8609311.0,9782927.0
Mobile App,Healthcare,Medium,Startup,4,2,23,145,248,1419772.0,1451993.0
AI Solution,E-commerce,Low,Enterprise,8,5,38,158,1760,3102333.0,3624409.0
Data Pipeline,E-commerce,Medium,SMB,22,11,7,166,7986,13284336.0,14502224.0
Mobile App,FinTech,Medium,SMB,21,8,35,61,5376,10966183.0,11483026.0
Web App,Healthcare,High,Enterprise,8,6,36,28,1824,6585611.0,6177142.0
Web App,Education,Low,Startup,9,9,24,131,3483,2995321.0,3359455.0
Mobile App,Manufacturing,Medium,Enterprise,7,2,8,52,602,2541041.0,2409102.0
Web App,FinTech,Medium,SMB,25,8,26,177,7000,14270255.0,15339111.0
Data Pipeline,Manufacturing,Medium,SMB,4,6,23,23,768,3193830.0,3613470.0
AI Solution,Education,Low,Enterprise,20,6,35,118,4920,8301972.0,7866625.0
AI Solution,Healthcare,Medium,Enterprise,29,4,44,193,4292,10519520.0,12005170.0
Mobile App,Healthcare,Medium,Enterprise,12,12,43,189,5184,9760619.0,11838540.0
Web App,Education,Medium,SMB,17,13,27,162,9061,9431762.0,10497864.0
Mobile App,Manufacturing,Low,SMB,25,2,46,89,2200,3938276.0,3819868.0
ERP,Education,Medium,Startup,16,5,34,66,2560,4861461.0,5091121.0
AI Solution,FinTech,Medium,SMB,29,8,30,136,9976,15341248.0,18006407.0
