project_type,client_industry,estimated_timeline_months,team_size,complexity_score,revision_count,developer_experience_level,final_billed_amount
Cloud Migration,Healthcare,11,10,4,3,3,21023377.26
ERP System,Retail,1,13,2,7,5,1806185.72
E-commerce Platform,Education,2,14,3,8,3,4976113.54
Legacy System Modernization,Finance,1,9,3,1,4,1502313.27
IoT System,Education,2,13,3,8,1,3435986.83
Cybersecurity Implementation,Finance,4,10,2,10,1,8827819.31
E-commerce Platform,Startup,12,14,2,3,3,11662327.8
CRM System,Healthcare,18,6,1,5,4,14993394.88
Cloud Migration,Startup,1,9,5,6,5,1755679.73
Business Intelligence Dashboard,Startup,1,5,1,3,4,374924.0
AI/ML Solution,Education,14,6,4,7,4,18106502.12
Cloud Migration,Healthcare,4,13,3,9,1,12762701.21
IoT System,Finance,5,4,2,7,2,3907902.99
IoT System,Finance,11,6,5,0,5,19747932.0
Cybersecurity Implementation,Retail,13,13,5,7,5,43125357.05
CRM System,Finance,16,4,2,9,1,12725551.63
ERP System,Education,13,6,1,2,4,7313879.44
Cybersecurity Implementation,Startup,2,12,5,4,1,5101723.89
Cybersecurity Implementation,Startup,16,15,1,9,4,29287879.66
AI/ML Solution,Startup,6,6,2,7,2,5071364.35
DevOps Automation,Healthcare,14,7,1,10,2,15772859.42
CRM System,Finance,1,10,3,5,3,2552547.54
Mobile Application,Education,17,2,2,3,4,3116407.12
Cybersecurity Implementation,Healthcare,11,13,2,3,1,32599426.93
Blockchain Solution,Retail,3,11,5,3,1,7880598.3
SaaS Product,Education,11,15,5,5,1,37914364.75
DevOps Automation,Education,5,7,5,6,3,7484742.52
Mobile Application,Education,17,2,3,4,5,3644794.53
Blockchain Solution,Startup,7,7,3,9,1,9523029.1
CRM System,Education,10,3,4,7,2,4777004.95
Web Application,Finance,11,9,2,6,1,17092191.59
Blockchain Solution,Education,3,12,5,7,1,8439055.43
Business Intelligence Dashboard,Startup,10,4,2,3,1,3517137.46
DevOps Automation,Education,10,11,1,7,5,12196560.3
E-commerce Platform,Retail,14,15,3,5,1,33967882.91
Blockchain Solution,Retail,12,7,4,2,5,14839006.77
Data Engineering Pipeline,Startup,15,7,1,7,5,12663184.82
Web Application,Finance,10,5,2,6,3,7303565.38
IoT System,Finance,10,6,3,9,2,14759541.93
IoT System,Healthcare,1,3,5,4,1,1123275.24
Legacy System Modernization,Startup,10,11,1,10,1,12971433.95
Business Intelligence Dashboard,Education,2,11,3,3,1,2537689.67
Blockchain Solution,Startup,17,9,2,0,5,17974712.67
Blockchain Solution,Healthcare,7,11,2,9,4,22328172.51
Legacy System Modernization,Startup,7,8,1,2,2,6140496.94
SaaS Product,Startup,9,11,1,1,1,9957431.63
SaaS Product,Healthcare,2,7,1,7,4,2337207.8
Legacy System Modernization,Finance,14,8,4,7,4,29102417.13
SaaS Product,Education,17,13,5,4,4,47103622.95
AI/ML Solution,Healthcare,1,2,3,4,2,1203196.23
