project_type,client_industry,estimated_timeline_months,team_allocation,complexity_score,revision_count,final_billed_amount
Cloud Migration,Healthcare,11,10,4,3,10220205.33
ERP System,Retail,1,13,2,7,1462107.0
E-commerce Platform,Education,2,14,3,8,2049683.42
Legacy System Modernization,Finance,1,9,3,1,780441.39
IoT System,Education,2,13,3,8,2216428.74
Cybersecurity Implementation,Finance,4,10,2,10,3431488.05
E-commerce Platform,Startup,12,14,2,3,9773478.17
CRM System,Healthcare,18,6,1,5,7470785.69
Cloud Migration,Startup,1,9,5,6,762429.19
Business Intelligence Dashboard,Startup,1,5,1,3,255159.77
AI/ML Solution,Education,14,6,4,7,7202797.86
Cloud Migration,Healthcare,4,13,3,9,4738785.8
IoT System,Finance,5,4,2,7,1698581.22
IoT System,Finance,11,6,5,0,6601876.55
Cybersecurity Implementation,Retail,13,13,5,7,15250525.7
CRM System,Finance,16,4,2,9,5566679.2
ERP System,Education,13,6,1,2,4832572.61
Cybersecurity Implementation,Startup,2,12,5,4,1990640.55
Cybersecurity Implementation,Startup,16,15,1,9,11494538.18
AI/ML Solution,Startup,6,6,2,7,2635905.64
DevOps Automation,Healthcare,14,7,1,10,6431665.05
CRM System,Finance,1,10,3,5,889044.92
Mobile Application,Education,17,2,2,3,2036235.58
Cybersecurity Implementation,Healthcare,11,13,2,3,8992562.81
Blockchain Solution,Retail,3,11,5,3,3398464.44
SaaS Product,Education,11,15,5,5,14017514.23
DevOps Automation,Education,5,7,5,6,2862561.97
Mobile Application,Education,17,2,3,4,2561361.05
Blockchain Solution,Startup,7,7,3,9,4340593.71
CRM System,Education,10,3,4,7,2369846.99
Web Application,Finance,11,9,2,6,6797041.27
Blockchain Solution,Education,3,12,5,7,3753113.14
Business Intelligence Dashboard,Startup,10,4,2,3,1792115.95
DevOps Automation,Education,10,11,1,7,6627310.02
E-commerce Platform,Retail,14,15,3,5,12814575.75
Blockchain Solution,Retail,12,7,4,2,12528167.73
Data Engineering Pipeline,Startup,15,7,1,7,6513413.6
Web Application,Finance,10,5,2,6,3528399.96
IoT System,Finance,10,6,3,9,4656926.93
IoT System,Healthcare,1,3,5,4,312815.55
Legacy System Modernization,Startup,10,11,1,10,6887717.83
Business Intelligence Dashboard,Education,2,11,3,3,1363556.45
Blockchain Solution,Startup,17,9,2,0,9638645.69
Blockchain Solution,Healthcare,7,11,2,9,6756354.58
Legacy System Modernization,Startup,7,8,1,2,2830586.98
SaaS Product,Startup,9,11,1,1,5693145.05
SaaS Product,Healthcare,2,7,1,7,993567.12
